College,KNN,SVM,Naive_Bayes
Harvard,0.7865,0.9801,0.8077
MIT,0.7836,0.9807,0.7764
Stanford,0.7667,0.9815,0.8019
MIT,0.7841,0.9807,0.7764
IIT,0.9099,0.9942,0.9884
AIIMS,0.9367,0.9956,0.9809
AIIMS,0.9367,0.9956,0.9809
